player_name,Team,Position,Class,Height,Minutes played,total_actions,successful_actions,goals,assists,shots,shots_on_target,total_passes,total_passes_completed,long_passes,long_passes_completed,crosses,accurate_crosses,dribbles,successful_dribbles,total_duels,total_duels_won,aerial_duels,aerial_duels_won,interceptions,losses,losses_in_own_half,recoveries,recoveries_in_own_half,minute_yellow_card_received,minute_red_card_received,defensive_duels,defensive_duels_won,loose_ball_duels,loose_ball_duels_won,slide_tackles_attempted,slide_tackles_won,clearances,fouls,yellow_cards,red_cards,shot_assists,offensive_duels...42,offensive_duels...43,touches_inside_box,offsides,progressive_runs_attempted,fouls_drawn,through_passes_attempted,through_passes_completed,second_assists,passes_into_final_third,passes_into_final_third_completed,passes_into_box,passes_into_box_completed,received_passes,forward_passes...56,forward_passes...57,back_passes...58,back_passes...59
Akinjide Awujo,Northwestern,F,R-Sr.,6' 0'',922,514,222,2,0,20,6,161,112,9,5,15,0,31,17,270,101,37,15,20,113,27,28,17,59,0,61,34,28,8,1,1,5,14,1,0,7,144,44,33,4,13,20,0,0,0,23,17,13,8,108,43,29,30,26
Brandon Clagette,Northwestern,D,Gr.,5' 8'',1120,505,242,2,0,22,6,203,138,25,9,29,8,29,22,204,96,39,13,20,131,18,43,19,70,0,55,36,28,13,1,1,11,13,1,0,6,82,34,35,4,12,12,1,0,0,33,24,23,9,135,56,35,40,34
Bryce LeBel,Northwestern,D,Gr.,5' 11'',674,404,286,0,0,1,0,298,237,47,24,3,0,0,0,74,43,19,11,19,64,27,73,23,67,0,36,25,8,4,1,0,10,4,3,0,1,11,3,1,0,2,6,0,0,0,41,22,7,2,178,133,88,32,30
Bryant Mayer,Northwestern,D,So.,6' 1'',1543,1065,662,0,5,3,0,610,447,91,36,32,16,13,5,345,196,98,53,73,242,74,186,42,114,0,154,110,41,17,16,8,41,24,2,0,10,52,16,16,0,13,9,4,1,0,128,74,43,21,369,294,187,69,63
Collin McCamy,Northwestern,M,Sr.,6' 2'',1453,939,597,1,1,27,6,453,351,55,23,14,6,30,17,315,181,72,39,48,179,68,104,51,45,0,113,81,36,17,0,0,15,15,1,0,19,94,44,9,0,13,12,7,1,0,80,41,27,12,282,172,109,87,85
Christopher Thaggard,Northwestern,F,Jr.,5' 10'',609,344,122,1,1,7,2,72,44,3,1,11,2,32,14,202,73,24,9,7,74,14,18,12,0,0,37,25,14,4,0,0,2,16,0,0,3,127,35,18,6,15,10,0,0,0,8,7,11,6,49,22,13,14,9
Danh Tran,Northwestern,M,Sr.,5' 11'',135,80,54,0,0,0,0,49,38,8,5,0,0,4,2,24,13,1,1,4,10,3,7,3,0,0,9,6,2,2,0,0,0,2,0,0,0,12,4,1,0,1,2,0,0,0,12,10,3,2,33,19,13,6,5
Fritz Volmar,Northwestern,D,So.,6' 0'',940,513,269,0,0,6,0,231,157,41,19,27,8,23,15,206,106,27,12,49,100,37,78,23,72,0,91,60,20,6,5,3,15,12,1,0,2,68,28,9,0,10,9,4,1,0,44,28,22,7,146,108,68,28,24
Henri Richter,Northwestern,M,Jr.,6' 0'',79,68,56,0,0,0,0,48,43,6,6,0,0,0,0,13,10,4,3,5,11,6,8,0,0,0,5,5,1,0,0,0,1,0,0,0,0,3,2,0,0,1,2,0,0,0,4,2,1,0,30,19,15,2,2
Italo Addimandi,Northwestern,F,So.,5' 10'',554,357,187,2,0,13,5,166,124,10,2,8,5,17,8,144,58,25,9,18,76,15,38,20,0,0,36,23,11,6,0,0,2,8,0,0,9,72,20,19,2,7,6,0,0,1,16,10,13,8,92,45,24,34,32
Ibrahim Obeid,Northwestern,D,Sr.,6' 0'',47,21,6,0,0,0,0,10,6,2,2,1,0,1,0,8,0,1,0,1,5,3,3,1,0,0,5,0,1,0,0,0,1,3,0,0,1,1,0,0,0,0,0,0,0,0,2,2,1,0,5,6,4,0,0
Jason Gajadhar,Northwestern,M,Jr.,5' 10'',147,111,75,1,0,2,1,76,61,11,7,1,0,4,1,25,12,1,1,7,20,8,18,7,0,0,11,7,3,1,1,0,1,2,0,0,3,10,3,3,0,0,1,3,2,0,16,10,4,0,51,34,23,14,14
Joe Suchecki,Northwestern,M,Gr.,6' 4'',1106,677,420,1,0,16,2,407,309,82,39,5,3,10,8,168,95,42,21,46,124,46,99,52,52,0,70,48,21,8,2,1,25,19,1,0,6,35,18,11,0,5,7,7,2,0,97,52,23,15,238,172,104,62,61
Jayvin Van Deventer,Northwestern,M,Jr.,5' 9'',812,437,265,0,0,7,3,230,178,20,9,11,5,28,14,169,84,28,12,24,74,18,55,31,47,0,46,31,13,6,1,1,3,6,1,0,7,82,35,13,0,17,10,2,1,1,40,25,15,5,116,73,48,62,59
Luke Shreiner,Northwestern,D,Fy.,6' 4'',373,265,180,0,0,3,0,168,132,26,10,5,1,6,4,67,43,16,11,27,50,18,41,8,0,0,29,23,4,1,0,0,10,3,0,0,1,18,8,9,0,2,1,1,0,0,30,13,5,1,104,68,46,19,19
Michael Ramirez,Northwestern,F,Fy.,5' 10'',379,214,109,0,0,4,2,98,68,8,5,11,3,19,10,85,36,3,0,7,54,10,20,14,157,0,35,21,2,0,1,0,2,4,2,0,4,45,15,7,0,7,4,4,1,0,15,10,18,4,62,34,18,23,21
Nigel Prince,Northwestern,D,Jr.,6' 2'',1671,1163,805,2,0,8,4,711,592,102,50,1,1,7,5,332,191,131,75,101,178,94,230,26,176,0,109,76,41,21,9,6,52,23,4,0,1,51,19,12,1,6,10,3,0,0,75,45,8,3,419,309,227,32,28
Peter Riesz,Northwestern,M,So.,6' 3'',287,175,78,1,0,11,4,58,39,2,2,3,1,4,4,63,35,22,10,8,44,7,12,10,0,0,19,15,10,2,1,1,5,5,0,0,0,12,8,10,0,1,4,0,0,1,8,6,4,1,38,19,10,8,6
Paul Son,Northwestern,M,Sr.,5' 10'',758,449,213,1,0,11,2,198,128,18,6,32,12,39,26,175,78,21,7,27,103,20,42,29,165,0,48,32,17,6,0,0,2,13,2,0,6,89,33,16,1,24,6,5,1,0,37,16,28,14,124,73,39,36,33
Reese Mayer,Northwestern,D,Gr.,6' 2'',1289,842,600,0,0,3,1,581,464,115,57,5,1,3,0,177,109,78,48,71,168,65,166,24,218,0,51,40,22,10,1,0,37,7,3,0,6,26,11,2,0,9,14,6,1,0,103,57,14,5,346,285,194,31,30
